file_path,bugfix_change_count,related_pr_ids,related_issue_ids
some_root_dir/.../some_file,86,"[2602, 2610, 2613, 2614, 2635, 2641, 2644, 2646, 2671, 2682, 2697, 2704, 2714, 2801, 2831, 2832, 2837, 2875, 2885, 2968, 2990, 2992, 3008, 3014, 3022, 3024, 3027, 3028, 3039, 3044, 3045, 3067, 3073, 3093, 3095, 3124, 3163, 3218, 3262, 3266, 3326, 3335, 3475, 3477, 3479]","[2093, 2115, 2119, 2120, 2121, 2122, 2127, 2148, 2175, 2190, 2209, 2218, 2272, 2274, 2285, 2293, 2351, 2356, 2364, 2365, 2366, 2372, 2386, 2417, 2420, 2421, 2425, 2429, 2438, 2691, 2705, 2726, 2771, 2826, 2834, 2838]"
some_root_dir/.../some_file,57,"[2577, 2632, 2641, 2687, 2688, 2690, 2693, 2696, 2701, 2709, 2715, 2758, 2759, 2761, 2763, 2764, 2783, 2784, 2785, 2868, 2978, 2980, 2982, 2985, 2989, 3002, 3003, 3010, 3028, 3047]","[2076, 2107, 2119, 2120, 2121, 2127, 2166, 2177, 2189, 2221, 2234, 2236, 2325, 2348, 2353, 2364, 2365, 2409, 2413, 2416, 2703]"
some_root_dir/.../some_file,51,"[2697, 2791, 2844, 2880, 3192, 3195, 3201, 3216, 3220, 3288, 3296, 3319, 3321, 3419, 3438, 3439, 3443, 3458, 3461, 3463, 3465, 3466]","[2175, 2247, 2273, 2392, 2738, 2742, 2754, 2761, 2785, 2799, 2818, 2829, 2861]"
some_root_dir/.../some_file,46,"[2589, 2615, 2641, 2646, 2647, 2659, 2774, 2990, 3014, 3022, 3027, 3039, 3044, 3056, 3095, 3103, 3104, 3113, 3154, 3218, 3232, 3262, 3266, 3316, 3335, 3340, 3421, 3477, 3479]","[2086, 2119, 2120, 2121, 2122, 2127, 2149, 2229, 2235, 2351, 2366, 2372, 2420, 2425, 2431, 2432, 2726, 2737, 2771, 2826, 2838]"
some_root_dir/.../some_file,40,"[2570, 2716, 2897, 2908, 2928, 3081, 3102, 3151, 3189, 3192, 3201, 3223, 3229, 3230, 3236, 3247, 3259, 3263, 3268, 3363, 3365, 3366, 3368, 3382, 3387, 3392, 3401, 3411]","[2090, 2288, 2299, 2331, 2381, 2727, 2731, 2782, 2799, 2820]"
some_root_dir/.../some_file,39,"[2546, 2555, 2558, 2560, 2561, 2589, 2632, 2697, 2736, 2738, 2746, 2767, 2770, 2837, 2850, 2928, 2992, 3052, 3288, 3296, 3479]","[2034, 2035, 2037, 2058, 2072, 2074, 2086, 2107, 2175, 2213, 2214, 2215, 2216, 2223, 2224, 2272, 2331, 2687, 2690, 2726, 2771, 2826, 2838, 2861]"
some_root_dir/.../some_file,37,"[2558, 2641, 2677, 2680, 2697, 2793, 2799, 3223, 3296, 3321, 3354, 3357, 3385, 3396, 3401, 3414, 3442, 3451, 3458, 3463, 3484, 3485]","[2058, 2064, 2095, 2119, 2120, 2121, 2127, 2158, 2163, 2164, 2175, 2243, 2602, 2731, 2754, 2782, 2785, 2794, 2806, 2861]"
some_root_dir/.../some_file,36,"[2660, 2711, 2712, 2716, 2899, 2928, 3081, 3102, 3151, 3192, 3201, 3229, 3236, 3238, 3259, 3314, 3331, 3333, 3343, 3360, 3365, 3366, 3368, 3382, 3387, 3392, 3411, 3414]","[2140, 2291, 2331, 2381, 2569, 2727, 2799, 2820]"
some_root_dir/.../some_file,33,"[2571, 2627, 2632, 2635, 2681, 2704, 2719, 2730, 2736, 2759, 2761, 2976, 2984, 2992, 3004, 3010, 3016, 3028, 3056, 3168, 3218, 3335, 3433, 3438, 3439]","[2107, 2115, 2171, 2193, 2209, 2213, 2234, 2321, 2327, 2348, 2353, 2364, 2365, 2386, 2403, 2431, 2432, 2829, 2836]"
some_root_dir/.../some_file,32,"[2557, 2659, 2680, 2697, 2702, 2709]","[2149, 2158, 2163, 2164, 2175, 2186, 2221, 2235]"
